date,KPC4,KPB8,dayofweek,quarter,dayofyear,dayofmonth,weekofyear,KPC4_lag_1,KPB8_lag_1,KPC4_lag_3,KPB8_lag_3,KPC4_lag_6,KPB8_lag_6,KPC4_lag_12,KPB8_lag_12,KPC4_window_3_mean,KPC4_window_3_std,KPB8_window_3_mean,KPB8_window_3_std,KPC4_window_6_mean,KPC4_window_6_std,KPB8_window_6_mean,KPB8_window_6_std
2012-06-01,37.4,47.4,4,2,153,1,22,39.2,51.8,37.1,47.8,36.0,44.3,32.6,43.0,38.03333333333334,1.0692676621562338,50.06666666666666,2.0526405757785775,37.28333333333333,1.1478966271691788,48.29999999999999,3.3394610343586835
2012-07-01,39.8,51.4,6,3,183,1,26,37.4,47.4,37.8,50.6,36.3,44.4,33.4,41.8,38.13333333333333,0.945163125250374,49.93333333333334,2.274496281230771,37.516666666666666,0.9621157241550364,48.81666666666666,2.7917139299481666
2012-08-01,36.8,50.1,2,3,214,1,31,39.8,51.4,39.2,51.8,37.3,50.9,33.8,41.8,38.800000000000004,1.248999599679561,50.199999999999996,2.4331050121191375,38.1,1.1242775458042726,49.98333333333333,1.8956968815363506
2012-09-01,38.7,50.1,5,3,245,1,35,36.8,50.1,37.4,47.4,37.1,47.8,34.8,43.3,38.0,1.5874507866386667,49.633333333333326,2.040424792373542,38.016666666666666,1.210647209828837,49.849999999999994,1.8458060569843129
2012-10-01,38.6,50.4,0,4,275,1,40,38.7,50.1,39.8,51.4,37.8,50.6,34.6,44.1,38.43333333333333,1.517673658377533,50.53333333333333,0.750555349946017,38.28333333333333,1.142657720696071,50.23333333333333,1.5500537625084643
2012-11-01,38.5,52.1,3,4,306,1,44,38.6,50.4,36.8,50.1,39.2,51.8,36.2,46.0,38.03333333333334,1.0692676621562358,50.199999999999996,0.17320508075477736,38.416666666666664,1.1214573851316578,50.199999999999996,1.5427248620541445
2012-12-01,42.2,51.7,5,4,336,1,48,38.5,52.1,38.7,50.1,37.4,47.4,36.0,44.3,38.6,0.099999999998514,50.86666666666667,1.0785793124905392,38.300000000000004,1.058300524425681,50.25,1.6084153692376795
2013-01-01,41.8,55.2,1,1,1,1,1,42.2,51.7,38.6,50.4,39.8,51.4,36.3,44.4,39.766666666666666,2.1079215671682325,51.4,0.8888194417311095,39.1,1.797776404339443,50.96666666666667,0.8755950357709081
2013-02-01,42.6,54.2,4,1,32,1,5,41.8,55.2,38.5,52.1,36.8,50.1,37.3,50.9,40.833333333333336,2.0305992547356344,53.0,1.9157244060665675,39.43333333333334,2.1115555087816937,51.6,1.9575494885187459
2013-03-01,44.3,55.3,4,1,60,1,9,42.6,54.2,42.2,51.7,38.7,50.1,37.1,47.8,42.199999999999996,0.3999999999993868,53.699999999999996,1.802775637731734,40.4,1.9889695824721996,52.28333333333333,2.042955375593575
2013-04-01,43.1,53.6,0,2,91,1,14,44.3,55.3,41.8,55.2,38.6,50.4,37.8,50.6,42.9,1.2767145334801646,54.9,0.6082762530289887,41.333333333333336,2.318332734243789,53.150000000000006,2.0344532435030387
2013-05-01,43.5,55.2,2,2,121,1,18,43.1,53.6,42.6,54.2,38.5,52.1,39.2,51.8,43.333333333333336,0.8736894948050977,54.36666666666667,0.8621678104246002,42.083333333333336,1.956953414536552,53.68333333333334,1.525013661141011
2013-06-01,43.8,55.2,5,2,152,1,22,43.5,55.2,44.3,55.3,42.2,51.7,37.4,47.4,43.63333333333333,0.6110100926603252,54.699999999999996,0.9539392014164195,42.916666666666664,0.9108603991096825,54.199999999999996,1.4014278433084095
2013-07-01,44.0,57.2,0,3,182,1,27,43.8,55.2,43.1,53.6,41.8,55.2,39.8,51.4,43.46666666666666,0.35118845842764757,54.666666666666664,0.9237604307028608,43.18333333333334,0.8931218655179384,54.78333333333333,0.7111024305026279
2013-08-01,45.0,55.8,3,3,213,1,31,44.0,57.2,43.5,55.2,42.6,54.2,36.8,50.1,43.76666666666667,0.25166114784125,55.866666666666674,1.1547005383787807,43.550000000000004,0.6220932405994808,55.11666666666667,1.2270560976038354
2013-09-01,45.7,57.2,6,3,244,1,35,45.0,55.8,43.8,55.2,44.3,55.3,38.7,50.1,44.26666666666667,0.6429100507324144,56.06666666666666,1.0263202878888404,43.949999999999996,0.6595452979133054,55.38333333333333,1.1600287352763115
2013-10-01,45.7,58.1,1,4,274,1,40,45.7,57.2,44.0,57.2,43.1,53.6,38.6,50.4,44.9,0.8544003745314006,56.73333333333333,0.8082903768647611,44.18333333333333,0.9786044485215715,55.699999999999996,1.3725887949419149
2013-11-01,45.5,58.2,4,4,305,1,44,45.7,58.1,45.0,55.8,43.5,55.2,38.5,52.1,45.46666666666667,0.4041451884319636,57.03333333333333,1.1590225767137388,44.61666666666667,0.9786044485215638,56.449999999999996,1.2161414391427119
2013-12-01,45.5,58.1,6,4,335,1,48,45.5,58.2,45.7,57.2,43.8,55.2,42.2,51.7,45.63333333333333,0.11547005383517875,57.833333333333336,0.5507570547274769,44.949999999999996,0.8549853799916787,56.949999999999996,1.216141439142715
2014-01-01,45.8,58.5,2,1,1,1,1,45.5,58.1,45.7,58.1,44.0,57.2,41.8,55.2,45.56666666666666,0.11547005383519106,58.133333333333326,0.057735026907926826,45.23333333333334,0.6562519841236055,57.43333333333334,0.9223159256278659
2014-02-01,48.2,62.0,5,1,32,1,5,45.8,58.5,45.5,58.2,45.0,55.8,42.6,54.2,45.6,0.17320508075505714,58.26666666666667,0.20816659994352055,45.53333333333333,0.28751811537041955,57.650000000000006,1.0054849576200142
2014-03-01,48.4,61.9,5,1,60,1,9,48.2,62.0,45.5,58.1,45.7,57.2,44.3,55.3,46.5,1.4798648586946495,59.53333333333333,2.1455380055668822,46.06666666666667,1.0519822558703857,58.68333333333334,1.6821613081588798
2014-04-01,49.5,62.2,1,2,91,1,14,48.4,61.9,45.8,58.5,45.7,58.1,43.1,53.6,47.46666666666667,1.446835627613802,60.800000000000004,1.99248588451674,46.51666666666667,1.3876839217437564,59.46666666666667,1.9294213294837397
2014-05-01,50.5,62.4,3,2,121,1,18,49.5,62.2,48.2,62.0,45.5,58.2,43.5,55.2,48.699999999999996,0.6999999999994451,62.03333333333333,0.15275252315975843,47.15,1.7581240001773049,60.15,2.069541011915479
2014-06-01,50.1,63.2,6,2,152,1,22,50.5,62.4,48.4,61.9,45.5,58.1,43.8,55.2,49.46666666666667,1.050396750438862,62.166666666666664,0.2516611478390303,47.98333333333333,1.989388515767115,60.85,1.986705816169104
